order_id,customer_id,product_id,order_date,quantity,total_price
1,8424,145,2023-01-01 00:00:00,3,3248.07
2,498,114,2023-01-01 01:00:00,1,1415.52
3,7608,123,2023-01-01 02:00:00,2,3890.72
4,3037,121,2023-01-01 03:00:00,4,6931.36
5,4127,148,2023-01-01 04:00:00,1,1419.4
6,8977,113,2023-01-01 05:00:00,2,472.56
7,4707,150,2023-01-01 06:00:00,2,2278.08
8,1276,140,2023-01-01 07:00:00,2,831.94
9,7182,126,2023-01-01 08:00:00,1,738.6
10,842,103,2023-01-01 09:00:00,2,2457.76
11,4296,101,2023-01-01 10:00:00,2,1039.52
12,7070,122,2023-01-01 11:00:00,4,4638.72
13,9622,115,2023-01-01 12:00:00,2,1503.5
14,3857,104,2023-01-01 13:00:00,1,826.46
15,761,119,2023-01-01 14:00:00,4,6086.04
16,7956,122,2023-01-01 15:00:00,1,1159.68
17,1837,119,2023-01-01 16:00:00,2,3043.02
18,1564,107,2023-01-01 17:00:00,2,3402.24
19,5865,139,2023-01-01 18:00:00,4,640.68
20,1490,102,2023-01-01 19:00:00,1,728.73
21,6988,134,2023-01-01 20:00:00,3,3346.83
22,4413,142,2023-01-01 21:00:00,1,1180.53
23,3990,119,2023-01-01 22:00:00,3,4564.53
24,8484,125,2023-01-01 23:00:00,3,2853.96
25,2757,122,2023-01-02 00:00:00,3,3479.04
26,8045,135,2023-01-02 01:00:00,3,2915.2799999999997
27,2440,106,2023-01-02 02:00:00,4,1077.24
28,5976,128,2023-01-02 03:00:00,2,2763.26
29,9391,116,2023-01-02 04:00:00,2,1556.56
30,4083,125,2023-01-02 05:00:00,1,951.32
31,4221,126,2023-01-02 06:00:00,1,738.6
32,4544,125,2023-01-02 07:00:00,3,2853.96
33,6246,147,2023-01-02 08:00:00,4,2575.08
34,9692,141,2023-01-02 09:00:00,2,1962.16
35,7035,132,2023-01-02 10:00:00,1,398.62
36,7401,111,2023-01-02 11:00:00,1,476.56
37,7315,108,2023-01-02 12:00:00,3,982.92
38,9139,149,2023-01-02 13:00:00,1,1416.39
39,4721,111,2023-01-02 14:00:00,1,476.56
40,5423,123,2023-01-02 15:00:00,1,1945.36
41,3251,139,2023-01-02 16:00:00,3,480.51
42,2733,131,2023-01-02 17:00:00,1,1679.93
43,4788,114,2023-01-02 18:00:00,3,4246.5599999999995
44,6516,124,2023-01-02 19:00:00,4,7045.36
45,2751,109,2023-01-02 20:00:00,4,2689.32
46,3613,102,2023-01-02 21:00:00,2,1457.46
47,5672,136,2023-01-02 22:00:00,1,437.36
48,3976,130,2023-01-02 23:00:00,1,1498.67
49,5755,103,2023-01-03 00:00:00,4,4915.52
50,9423,108,2023-01-03 01:00:00,2,655.28
51,6746,107,2023-01-03 02:00:00,2,3402.24
52,7911,146,2023-01-03 03:00:00,3,5194.200000000001
53,5943,120,2023-01-03 04:00:00,1,308.64
54,9328,114,2023-01-03 05:00:00,2,2831.04
55,1516,125,2023-01-03 06:00:00,4,3805.28
56,2538,113,2023-01-03 07:00:00,2,472.56
57,902,141,2023-01-03 08:00:00,2,1962.16
58,2770,125,2023-01-03 09:00:00,1,951.32
59,7200,114,2023-01-03 10:00:00,1,1415.52
60,7824,104,2023-01-03 11:00:00,2,1652.92
